ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
emodin	emodin	8/172	10/1764	2.66288466791033e-07	3.50141005269911e-06	1.66393017322952e-06	hsa-mir-21/hsa-mir-221/hsa-mir-34a/hsa-mir-222/hsa-mir-216a/hsa-mir-301a/hsa-mir-199a-2/hsa-mir-199a-1	8
Carcinoma, Nasopharyngeal	Carcinoma, Nasopharyngeal	29/172	113/1764	3.08441380998593e-07	3.97118278035688e-06	1.88717423900455e-06	hsa-mir-10b/hsa-mir-21/hsa-mir-93/hsa-mir-183/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-184/hsa-mir-30d/hsa-mir-216b/hsa-mir-18a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-130a/hsa-mir-195/hsa-mir-34b/hsa-mir-372/hsa-mir-338/hsa-let-7c/hsa-mir-205/hsa-mir-199b/hsa-mir-214/hsa-mir-204/hsa-mir-483/hsa-mir-200c	29
Carcinoma, Thyroid, Papillary	Carcinoma, Thyroid, Papillary	19/172	56/1764	4.06059697685771e-07	5.12132435040421e-06	2.43374126002857e-06	hsa-mir-21/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-181b-2/hsa-mir-34b/hsa-mir-130b/hsa-mir-199b/hsa-mir-214/hsa-mir-204/hsa-mir-7-3/hsa-mir-135b	19
Leukemia	Leukemia	21/172	67/1764	4.40475686100943e-07	5.44427948020766e-06	2.58721508257186e-06	hsa-mir-424/hsa-mir-21/hsa-mir-183/hsa-mir-660/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34a/hsa-mir-454/hsa-mir-139/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-511/hsa-mir-17/hsa-mir-195/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-199b	21
Cardiotoxicity	Cardiotoxicity	10/172	17/1764	6.42846115204745e-07	7.78978233718691e-06	3.70183831046695e-06	hsa-mir-424/hsa-mir-182/hsa-mir-34c/hsa-mir-34a/hsa-mir-130a/hsa-mir-34b/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214	10
Carcinoma, Renal Cell, Clear-Cell	Carcinoma, Renal Cell, Clear-Cell	19/172	58/1764	7.59794776989978e-07	9.02986869576551e-06	4.29114863927538e-06	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-452/hsa-mir-532/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-502/hsa-mir-34a/hsa-mir-19a/hsa-mir-425/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-195/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-204	19
Onco-MiRNAs	Onco-MiRNAs	15/172	38/1764	7.91479844101941e-07	9.22895365386792e-06	4.38575722948246e-06	hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-221/hsa-mir-222/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-372/hsa-mir-20b/hsa-mir-214	15
Pancreatic Neoplasms	Pancreatic Neoplasms	20/172	64/1764	8.99028500132099e-07	1.0288881723734e-05	4.88945324633247e-06	hsa-mir-21/hsa-mir-224/hsa-mir-96/hsa-mir-221/hsa-mir-217/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-216a/hsa-mir-20a/hsa-mir-17/hsa-mir-181b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-let-7c/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-200c	20
Diabetes Mellitus, Type 2	Diabetes Mellitus, Type 2	33/172	147/1764	1.27132783798323e-06	1.42851018886116e-05	6.78852568033151e-06	hsa-mir-21/hsa-mir-93/hsa-mir-96/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-454/hsa-mir-30d/hsa-mir-18a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-181b-2/hsa-mir-33b/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-let-7c/hsa-mir-20b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-410/hsa-mir-214/hsa-mir-409/hsa-mir-200c/hsa-mir-4739/hsa-mir-7-3	33
Epstein-Barr Virus Infection	Epstein-Barr Virus Infection	10/172	18/1764	1.32519682739263e-06	1.46244935594402e-05	6.94981042937115e-06	hsa-mir-10b/hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-222/hsa-mir-7-3	10
Squamous Cell Carcinoma, Oral	Squamous Cell Carcinoma, Oral	23/172	83/1764	1.41132997702831e-06	1.53017881719912e-05	7.27167245781899e-06	hsa-mir-10b/hsa-mir-21/hsa-mir-224/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-184/hsa-mir-139/hsa-mir-216a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-338/hsa-mir-205/hsa-mir-92b/hsa-mir-204/hsa-mir-200c/hsa-mir-211	23
Hepatoblastoma	Hepatoblastoma	12/172	26/1764	1.45802732241653e-06	1.55355325043693e-05	7.3827517777534e-06	hsa-mir-21/hsa-mir-224/hsa-mir-96/hsa-mir-221/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-18a/hsa-mir-17/hsa-mir-195/hsa-mir-34b/hsa-mir-214	12
arsenite	arsenite	18/172	55/1764	1.54837079095955e-06	1.59482191468833e-05	7.57886755574936e-06	hsa-mir-21/hsa-mir-182/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-301a/hsa-mir-181b-2/hsa-mir-33b/hsa-let-7c/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-200c/hsa-mir-889	18
Cardiomyopathy, Hypertrophic	Cardiomyopathy, Hypertrophic	18/172	55/1764	1.54837079095955e-06	1.59482191468833e-05	7.57886755574936e-06	hsa-mir-10b/hsa-mir-21/hsa-mir-96/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-184/hsa-mir-30d/hsa-mir-19a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-34b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-204	18
paclitaxel (PTX)	paclitaxel (PTX)	21/172	72/1764	1.69226590379289e-06	1.71445955499018e-05	8.14740616321342e-06	hsa-mir-21/hsa-mir-224/hsa-mir-183/hsa-mir-1180/hsa-mir-34c/hsa-mir-135a-2/hsa-mir-216b/hsa-mir-877/hsa-mir-18a/hsa-mir-135a-1/hsa-mir-520a/hsa-mir-508/hsa-mir-17/hsa-mir-19b-2/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-636/hsa-mir-485/hsa-mir-200c/hsa-mir-135b	21
Cell Death	Cell Death	22/172	78/1764	1.76316732602763e-06	1.75747968949206e-05	8.35184522855193e-06	hsa-mir-10b/hsa-mir-21/hsa-mir-183/hsa-mir-182/hsa-mir-221/hsa-mir-34a/hsa-mir-222/hsa-mir-184/hsa-mir-30d/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-181b-2/hsa-mir-1226/hsa-mir-19b-2/hsa-mir-939/hsa-mir-130b/hsa-let-7c/hsa-mir-205/hsa-mir-380/hsa-mir-7-3	22
ERS1	ERS1	9/172	15/1764	1.94944068146878e-06	1.91230847801223e-05	9.08761821436572e-06	hsa-mir-21/hsa-mir-221/hsa-mir-222/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-19b-2/hsa-mir-20b	9
Liver Cirrhosis	Liver Cirrhosis	18/172	56/1764	2.08946551935236e-06	2.01764014212462e-05	9.58817236676494e-06	hsa-mir-10b/hsa-mir-21/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-454/hsa-mir-18a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-939/hsa-mir-219b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214	18
Lung Neoplasms	Lung Neoplasms	27/172	110/1764	2.201268462036e-06	2.09289832236653e-05	9.94581216045414e-06	hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-183/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-30d/hsa-mir-1258/hsa-mir-216a/hsa-mir-18a/hsa-mir-20a/hsa-mir-181b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-219b/hsa-mir-338/hsa-let-7c/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214	27
kidney.cortex_renalis	kidney.cortex_renalis	15/172	41/1764	2.49078855216428e-06	2.26368724299636e-05	1.07574304342699e-05	hsa-mir-183/hsa-mir-96/hsa-mir-182/hsa-mir-195/hsa-mir-509-2/hsa-mir-509-3/hsa-mir-509-1/hsa-mir-410/hsa-mir-493/hsa-mir-409/hsa-mir-551b/hsa-mir-485/hsa-mir-200c/hsa-mir-889/hsa-mir-7-3	15
myocardium	myocardium	15/172	41/1764	2.49078855216428e-06	2.26368724299636e-05	1.07574304342699e-05	hsa-mir-500a/hsa-mir-502/hsa-mir-508/hsa-mir-17/hsa-mir-362/hsa-mir-33b/hsa-mir-514a-1/hsa-mir-514a-3/hsa-mir-514a-2/hsa-mir-509-2/hsa-mir-509-3/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-214	15
Retinoic Acid	Retinoic Acid	15/172	41/1764	2.49078855216428e-06	2.26368724299636e-05	1.07574304342699e-05	hsa-mir-10b/hsa-mir-21/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-184/hsa-mir-181b-2/hsa-let-7c/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-483	15
Diabetes Mellitus	Diabetes Mellitus	21/172	74/1764	2.7829326975514e-06	2.45693201012395e-05	1.16757627461179e-05	hsa-mir-21/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34a/hsa-mir-30d/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-130a/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-326/hsa-mir-130b/hsa-mir-204/hsa-mir-200c/hsa-mir-7-3	21
Preeclampsia	Preeclampsia	21/172	74/1764	2.7829326975514e-06	2.45693201012395e-05	1.16757627461179e-05	hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-182/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-1301/hsa-mir-18a/hsa-mir-301a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-195/hsa-mir-188/hsa-mir-34b/hsa-mir-205/hsa-mir-92b/hsa-mir-204/hsa-mir-135b	21
Cell Proliferation	Cell Proliferation	22/172	80/1764	2.82860236894166e-06	2.4620792450788e-05	1.17002232903591e-05	hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-17/hsa-mir-130a/hsa-mir-34b/hsa-let-7c/hsa-mir-509-2/hsa-mir-509-3/hsa-mir-92b/hsa-mir-199a-2/hsa-mir-509-1/hsa-mir-199a-1/hsa-mir-200c	22
Imatinib	Imatinib	16/172	47/1764	3.4201477999183e-06	2.92535825737008e-05	1.3901804697773e-05	hsa-mir-21/hsa-mir-224/hsa-mir-183/hsa-mir-221/hsa-mir-196b/hsa-mir-34a/hsa-mir-520a/hsa-mir-17/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-326/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-493/hsa-mir-7-3	16
Bladder Neoplasms	Bladder Neoplasms	14/172	37/1764	3.45552027165074e-06	2.92535825737008e-05	1.3901804697773e-05	hsa-mir-21/hsa-mir-93/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-181b-2/hsa-mir-34b/hsa-mir-205/hsa-mir-199b/hsa-mir-1224	14
propofol (PPF)	propofol (PPF)	16/172	48/1764	4.69716350586571e-06	3.92276627922299e-05	1.86416588639621e-05	hsa-mir-10b/hsa-mir-21/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-372/hsa-mir-326/hsa-mir-20b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-204	16
Neuroblastoma	Neuroblastoma	18/172	59/1764	4.89224955198925e-06	4.03121363083914e-05	1.91570192983158e-05	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-34a/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-421/hsa-mir-17/hsa-mir-130a/hsa-mir-362/hsa-mir-19b-2/hsa-mir-338/hsa-mir-205/hsa-mir-410/hsa-mir-204/hsa-mir-432/hsa-mir-380	18
Adenocarcinoma, Pancreatic Ductal	Adenocarcinoma, Pancreatic Ductal	20/172	71/1764	5.58178024928259e-06	4.53886867639031e-05	2.15694832347624e-05	hsa-mir-10b/hsa-mir-21/hsa-mir-224/hsa-mir-183/hsa-mir-96/hsa-mir-221/hsa-mir-217/hsa-mir-196b/hsa-mir-34a/hsa-mir-222/hsa-mir-135a-2/hsa-mir-301a/hsa-mir-135a-1/hsa-mir-181b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-326/hsa-mir-483/hsa-mir-200c/hsa-mir-211	20
Multiple Myeloma	Multiple Myeloma	18/172	60/1764	6.39941049983329e-06	5.13615024532075e-05	2.44078677984072e-05	hsa-mir-21/hsa-mir-96/hsa-mir-182/hsa-mir-221/hsa-mir-660/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-18a/hsa-mir-301a/hsa-mir-20a/hsa-mir-17/hsa-mir-33b/hsa-mir-19b-2/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-135b	18
morin	morin	7/172	10/1764	6.95432616803864e-06	5.39569517153346e-05	2.56412698493925e-05	hsa-mir-93/hsa-mir-34a/hsa-mir-222/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-188/hsa-mir-135b	7
TWIST1	TWIST1	7/172	10/1764	6.95432616803864e-06	5.39569517153346e-05	2.56412698493925e-05	hsa-mir-10b/hsa-mir-372/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-200c	7
H2O2	H2O2	28/172	123/1764	7.00017596020954e-06	5.39569517153346e-05	2.56412698493925e-05	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-589/hsa-mir-96/hsa-mir-182/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-34a/hsa-mir-222/hsa-mir-3200/hsa-mir-216a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-130a/hsa-mir-195/hsa-mir-19b-2/hsa-mir-326/hsa-let-7c/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-493/hsa-mir-200c/hsa-mir-7-3	28
Regulation of Stem Cell	Regulation of Stem Cell	21/172	78/1764	7.07202765200988e-06	5.39569517153346e-05	2.56412698493925e-05	hsa-mir-21/hsa-mir-93/hsa-mir-182/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-20a/hsa-mir-17/hsa-mir-195/hsa-mir-372/hsa-mir-205/hsa-mir-199b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-200c/hsa-mir-323b/hsa-mir-135b	21
Systemic Lupus Erythematosus	Systemic Lupus Erythematosus	17/172	55/1764	7.51437653820705e-06	5.66327402513653e-05	2.69128505026928e-05	hsa-mir-21/hsa-mir-224/hsa-mir-532/hsa-mir-221/hsa-mir-34c/hsa-mir-34a/hsa-mir-17/hsa-mir-181b-2/hsa-mir-362/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-326/hsa-mir-3074/hsa-mir-410/hsa-mir-380/hsa-mir-7-3	17
5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine)	5-Aza-2'-deoxycytidine (5-Aza-dC, decitabine)	23/172	91/1764	8.05303219107664e-06	5.99611312540406e-05	2.84945590527633e-05	hsa-mir-10b/hsa-mir-21/hsa-mir-183/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-196b/hsa-mir-9-2/hsa-mir-34a/hsa-mir-135a-1/hsa-mir-362/hsa-mir-195/hsa-mir-188/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-372/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-483/hsa-mir-432/hsa-mir-200c	23
MYC	MYC	14/172	40/1764	1.00794306016261e-05	7.41558108548206e-05	3.52401145094447e-05	hsa-mir-93/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-17/hsa-mir-195/hsa-mir-19b-2/hsa-let-7c/hsa-mir-20b	14
NFKB1	NFKB1	11/172	26/1764	1.16637266448551e-05	8.48021537237701e-05	4.02994394292827e-05	hsa-mir-10b/hsa-mir-21/hsa-mir-224/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-17/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214	11
Embryonic Stem Cell Differentiation	Embryonic Stem Cell Differentiation	12/172	31/1764	1.37249483082805e-05	9.58490469940644e-05	4.55491127769442e-05	hsa-mir-21/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-372/hsa-mir-130b/hsa-mir-204/hsa-mir-200c	12
Aging	Aging	18/172	63/1764	1.37473905408556e-05	9.58490469940644e-05	4.55491127769442e-05	hsa-mir-21/hsa-mir-96/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-30d/hsa-mir-18a/hsa-mir-511/hsa-mir-17/hsa-mir-181b-2/hsa-mir-195/hsa-let-7c/hsa-mir-204/hsa-mir-200c/hsa-mir-7-3	18
docosahexaenoic acid (DHA)	docosahexaenoic acid (DHA)	10/172	22/1764	1.38035035315077e-05	9.58490469940644e-05	4.55491127769442e-05	hsa-mir-21/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-19a/hsa-mir-17/hsa-mir-130a	10
Lung Fibrosis	Lung Fibrosis	10/172	22/1764	1.38035035315077e-05	9.58490469940644e-05	4.55491127769442e-05	hsa-mir-21/hsa-mir-221/hsa-mir-34c/hsa-mir-34a/hsa-mir-18a/hsa-mir-19a/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-326/hsa-mir-130b	10
Estradiol (E2)	Estradiol (E2)	20/172	75/1764	1.39896977722507e-05	9.60625913694547e-05	4.56505927305023e-05	hsa-mir-424/hsa-mir-10b/hsa-mir-21/hsa-mir-501/hsa-mir-103a-1/hsa-mir-103a-2/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-222/hsa-mir-216b/hsa-mir-216a/hsa-mir-526b/hsa-mir-17/hsa-mir-34b/hsa-let-7c/hsa-mir-409/hsa-mir-200c/hsa-mir-211	20
high glucose (HG)	high glucose (HG)	33/172	163/1764	1.46520787084031e-05	9.95053257339905e-05	4.72866392093057e-05	hsa-mir-424/hsa-mir-21/hsa-mir-93/hsa-mir-452/hsa-mir-221/hsa-mir-217/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-877/hsa-mir-139/hsa-mir-216a/hsa-mir-425/hsa-mir-20a/hsa-mir-17/hsa-mir-130a/hsa-mir-33b/hsa-mir-195/hsa-mir-188/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-372/hsa-mir-338/hsa-mir-130b/hsa-mir-20b/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-214/hsa-mir-200c/hsa-mir-135b	33
Hormone-mediated Signaling Pathway 	Hormone-mediated Signaling Pathway 	17/172	58/1764	1.66940861266327e-05	0.000112140708981076	5.32911902669395e-05	hsa-mir-21/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-30d/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-7-3/hsa-mir-135b	17
HIF1A	HIF1A	7/172	11/1764	1.75573825179499e-05	0.000116671638667667	5.54443658461575e-05	hsa-mir-424/hsa-mir-224/hsa-mir-452/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-372	7
Schizophrenia	Schizophrenia	16/172	53/1764	1.98946496921882e-05	0.000130796739465663	6.2156856261148e-05	hsa-mir-183/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-19a/hsa-mir-181b-2/hsa-mir-195/hsa-mir-19b-2/hsa-mir-34b/hsa-mir-219b/hsa-mir-338/hsa-mir-130b/hsa-mir-432/hsa-mir-7-3	16
Diabetes Mellitus, Gestational	Diabetes Mellitus, Gestational	10/172	23/1764	2.23787334395469e-05	0.000145579550164631	6.91819017133916e-05	hsa-mir-452/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-502/hsa-mir-222/hsa-mir-30d/hsa-mir-508/hsa-mir-362/hsa-mir-130b	10
sulforaphane (SFN)	sulforaphane (SFN)	9/172	19/1764	2.54085043317636e-05	0.000163567246635728	7.77299639096715e-05	hsa-mir-21/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-326/hsa-mir-92b/hsa-mir-200c/hsa-mir-135b	9
Metformin	Metformin	16/172	54/1764	2.58838333949418e-05	0.000164909371526537	7.83677647009091e-05	hsa-mir-21/hsa-mir-182/hsa-mir-221/hsa-mir-34a/hsa-mir-222/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-130a/hsa-mir-33b/hsa-let-7c/hsa-mir-205/hsa-mir-199a-2/hsa-mir-199a-1/hsa-mir-204/hsa-mir-200c/hsa-mir-7-3	16
Chronic Obstructive Pulmonary Disease	Chronic Obstructive Pulmonary Disease	11/172	28/1764	2.72043865411086e-05	0.000171554192677603	8.15254977977369e-05	hsa-mir-21/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-17/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-199a-2/hsa-mir-199a-1	11
Carcinoma, Esophageal	Carcinoma, Esophageal	18/172	66/1764	2.7916548820551e-05	0.000174266941122228	8.28146424341705e-05	hsa-mir-21/hsa-mir-93/hsa-mir-183/hsa-mir-96/hsa-mir-221/hsa-mir-217/hsa-mir-34c/hsa-mir-34a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-34b/hsa-mir-205/hsa-mir-20b/hsa-mir-204/hsa-mir-483/hsa-mir-200c	18
resveratrol	resveratrol	12/172	33/1764	2.89456098484283e-05	0.000178883868863287	8.50086857653842e-05	hsa-mir-21/hsa-mir-221/hsa-mir-222/hsa-mir-139/hsa-mir-20a/hsa-mir-17/hsa-mir-326/hsa-mir-338/hsa-mir-20b/hsa-mir-409/hsa-mir-485/hsa-mir-200c	12
ionizing radiation (IR)	ionizing radiation (IR)	18/172	67/1764	3.4948650336522e-05	0.000213002391562018	0.000101222393537392	hsa-mir-21/hsa-mir-93/hsa-mir-224/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34a/hsa-mir-222/hsa-mir-18a/hsa-mir-19a/hsa-mir-20a/hsa-mir-421/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-17/hsa-mir-372/hsa-mir-205	18
cigarette smoke (CS)	cigarette smoke (CS)	10/172	24/1764	3.51557345296535e-05	0.000213002391562018	0.000101222393537392	hsa-mir-21/hsa-mir-93/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-222/hsa-mir-195/hsa-mir-196a-1/hsa-mir-196a-2/hsa-mir-380	10
Hepatitis [unspecific]	Hepatitis [unspecific]	7/172	12/1764	3.86884935641847e-05	0.000232130961385108	0.00011031261833835	hsa-mir-21/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-34b	7
Glaucoma	Glaucoma	11/172	29/1764	4.01518589392576e-05	0.000238594700235204	0.00011338429801673	hsa-mir-21/hsa-mir-93/hsa-mir-182/hsa-mir-184/hsa-mir-30d/hsa-mir-19a/hsa-mir-450a-2/hsa-mir-450a-1/hsa-mir-3074/hsa-mir-205/hsa-mir-483	11
radiation	radiation	21/172	87/1764	4.43956903559921e-05	0.000258835251320784	0.00012300295540538	hsa-mir-21/hsa-mir-221/hsa-mir-9-1/hsa-mir-9-3/hsa-mir-9-2/hsa-mir-34c/hsa-mir-34a/hsa-mir-222/hsa-mir-18a/hsa-mir-20a/hsa-mir-130a/hsa-mir-34b/hsa-mir-338/hsa-let-7c/hsa-mir-205/hsa-mir-431/hsa-mir-410/hsa-mir-214/hsa-mir-493/hsa-mir-1224/hsa-mir-135b	21
tumor necrosis factor alpha (TNF-α) 	tumor necrosis factor alpha (TNF-α) 	21/172	87/1764	4.43956903559921e-05	0.000258835251320784	0.00012300295540538	hsa-mir-424/hsa-mir-21/hsa-mir-224/hsa-mir-105-2/hsa-mir-105-1/hsa-mir-221/hsa-mir-660/hsa-mir-502/hsa-mir-34a/hsa-mir-222/hsa-mir-19a/hsa-mir-101-1/hsa-mir-101-2/hsa-mir-130a/hsa-mir-181b-2/hsa-mir-19b-2/hsa-mir-196a-1/hsa-mir-196a-2/hsa-let-7c/hsa-mir-20b/hsa-mir-204	21
